MP ID,Formula,Band Gap (eV),energy_above_hull (eV/atom),Left End (V),Right End (V),Window Length (V),label
mp-1235245,LiZr2(SeO)2,0.0,0.350806585,1.06237327,1.43523232,0.37285905,0
mp-10499,LiZr2(PO4)3,4.2388,0.0,1.975938258,4.58420338,2.608265122,0
mp-1195770,LiZr2(AsO4)3,3.6422,0.014140146,3.029523115,5.886104349,2.856581234,0
mp-1203440,LiZnSO4F,4.2073,0.0,3.130844003,4.663990221,1.533146218,0
mp-11175,LiZnPS4,2.7312,0.0,2.083304614,2.440328174,0.357023561,0
mp-17056,LiZnPO4,4.1081,0.002969481,2.10678818,4.447170227,2.340382047,0
mp-754344,LiZnO2,0.0,0.091000781,3.002173111,3.227851723,0.225678612,0
mp-1104352,LiZnIO4,2.8646,0.096098453,3.032395094,3.961835436,0.929440342,0
mp-1222343,LiZnFeO3,1.7136,0.07078057,1.625377355,3.442807188,1.817429833,0
mp-771267,LiZnFe7O12,1.1619,0.069709352,2.230356553,3.495034596,1.264678043,0
mp-532759,LiZnCr3(SO4)6,0.0,0.009555368,3.277829538,4.656367089,1.378537551,0
mp-1212219,LiZnBP2O11,0.5108,0.480038422,4.179127441,4.447170227,0.268042786,0
mp-1222376,LiZnBO3,3.5248,0.0203416,1.724410658,3.665016557,1.9406059,0
mp-1203426,LiZnAsO5,0.2377,0.292007909,3.875034591,4.39605157,0.521016979,0
mp-18048,LiZnAsO4,2.9218,0.0,2.768291613,4.39605157,1.627759957,0
mp-771348,LiZn6Fe17O32,0.8739,0.091368117,2.230356553,3.495034596,1.264678043,0
mp-1210921,LiZn4SnO8,0.0,0.11867776,3.41894131,3.649841197,0.230899887,0
mp-769606,LiZn4Fe13O24,1.161,0.084367668,2.230356553,3.495034596,1.264678043,0
mp-771993,LiZn2Fe9O16,1.1617,0.06935132,2.230356553,3.495034596,1.264678043,0
mp-1222371,LiZn2CrO4,1.4076,0.11989026,1.362919113,2.950713621,1.587794508,0
mp-1235150,LiZn2AgWO6,2.375,0.130467145,3.372865135,3.445004852,0.072139717,0
mp-1235189,LiZn(SbO2)4,0.0,0.206239174,2.287215419,2.750260233,0.463044814,0
mp-755444,LiZn(FeO2)4,0.0,0.059010149,3.495034596,3.84874466,0.353710064,0
mp-756921,LiZn(Fe5O8)2,0.0,0.081853081,2.194547182,2.230356553,0.03580937,0
mp-1235103,LiZn(CoO2)4,0.3318,0.292765784,3.425052286,3.891551473,0.466499187,0
mp-1181392,LiZn(ClO)3,0.4641,0.579236866,3.512740035,4.107478953,0.594738918,0
mp-558941,LiYSiO4,5.1083,0.0,0.746106148,3.619596265,2.873490117,0
mp-755552,LiYS2,0.3767,0.075843422,0.60956057,2.375961179,1.766400609,0
mp-976283,LiYO3,0.0,0.4157053,2.915072761,3.227851723,0.312778962,0
mp-7020,LiYO2,4.0135,0.0,0.005122867,2.915072761,2.909949895,0
mp-19431,LiYMo3O8,0.0,0.061301027,1.904041234,1.911890875,0.007849641,0
mp-1032837,LiYMg6O8,3.0373,0.10170985,0.0711085,2.915072761,2.843964261,0
mp-1037656,LiYMg30O32,4.3443,0.020977481,0.0711085,2.915072761,2.843964261,0
mp-1035901,LiYMg14O16,3.8415,0.046438368,0.0711085,2.915072761,2.843964261,0
mp-1211012,LiYGeO4,3.817,0.011135901,1.788831242,3.605114579,1.816283337,0
mp-1222506,LiY9(Si3O13)2,4.4329,0.029051965,1.100947404,3.619596265,2.518648861,0
mp-555489,LiY6B3O14,4.3885,0.01251002,0.879243612,3.376050797,2.496807185,0
mp-1235516,LiY5(MoO6)2,0.1156,0.043850441,1.747179166,1.763824062,0.016644895,0
mp-1235973,LiY4(AgO3)4,0.0233,0.07116376,3.38210655,3.452188616,0.070082066,0
mp-756622,LiY3WO8,2.9477,0.066017705,1.96491481,3.53185343,1.56693862,0
mp-1202176,LiY3Si2(O4F)2,5.2282,0.006577344,1.201524041,3.726878011,2.52535397,0
mp-644527,LiY2Ti2S2O5,0.0,0.046925061,1.249914122,1.519487227,0.269573105,0
mp-1235592,LiY2(FeO2)4,1.9588,0.228449816,1.858792308,2.194547182,0.335754875,0
mp-1191085,LiY(WO4)2,3.7774,0.0,2.426968594,3.959705174,1.532736581,0
mp-1139957,LiY(TlCl3)2,4.4393,0.0,1.580172017,3.308019884,1.727847867,0
mp-556861,LiY(PO3)4,5.8405,0.004690644,2.544610881,4.854578035,2.309967154,0
mp-1222331,LiY(MoO4)2,3.225,0.058525631,2.582106935,4.111713254,1.529606319,0
mp-25467,LiWO2,0.0,0.309206088,2.087370287,2.128419235,0.041048948,0
mp-1222570,LiW3O9F,2.5627,0.024483961,2.529976171,4.501013765,1.971037594,0
mp-1222477,LiVZnO4,3.35,0.0,2.687585008,4.091184323,1.403599315,0
mp-1222435,LiVWO6,2.7219,0.068820518,3.253094508,4.129518513,0.876424005,0
mp-1180450,LiVTeO5,0.9792,0.65338287,3.288852519,3.596063707,0.307211188,0
mp-756572,LiVTe2WO12,1.2441,0.064957491,3.741981371,4.146167589,0.404186217,0
mp-753012,LiVTe(WO6)2,1.6739,0.050305545,3.741981371,4.146167589,0.404186217,0
mp-768092,LiVSO4F3,1.1242,0.058888388,4.450582089,4.58668488,0.136102791,0
mp-773600,LiVSnO4,0.0,0.144873958,1.967279407,2.30282355,0.335544143,0
mp-770969,LiVSn3(PO4)6,1.3638,0.024752763,3.897298523,4.414217313,0.516918791,0
mp-754539,LiVSiO5,2.0428,0.056768822,3.253094508,4.129518513,0.876424005,0
mp-1176508,LiVSiO4,2.3919,0.083262702,1.708459251,2.489666157,0.781206906,0
mp-770349,LiVSiCO7,1.7103,0.096049396,3.547443885,4.129518513,0.582074627,0
mp-1326495,LiVSi3O8,0.0,4.057655001,1.739967565,2.652371288,0.912403723,0
mp-1176510,LiVS3,0.0399,0.102973501,1.862002682,2.047281834,0.185279153,0
mp-7543,LiVS2,0.0,0.053587635,1.796293218,1.862002682,0.065709464,0
mp-1293037,LiVPO5,1.3804,0.061090861,3.074196363,3.837227975,0.763031612,0
mp-1247560,LiVPO4F,1.9749,0.03470617,2.165602385,3.722797476,1.557195092,0
mp-25422,LiVPO4,1.2636,0.00627942,2.223256105,2.249923143,0.026667038,0
mp-25421,LiVPCO7,1.8586,0.046978441,3.221885581,3.837227975,0.615342394,0
mp-1567478,LiVP2O7,2.0391,0.028882291,2.369484988,3.638773167,1.26928818,0
mp-760189,LiVOF4,3.0138,0.018203108,4.58668488,4.654269655,0.067584775,0
mp-1286464,LiVOF3,2.217,0.074843644,3.775903075,3.855912041,0.080008966,0
mp-1290585,LiVOF2,1.9785,0.022814016,2.201857675,2.919710878,0.717853203,0
mp-1176521,LiVO3,1.9941,0.082759272,3.253094508,4.129518513,0.876424005,0
mp-752626,LiVO2F,2.2165,0.074800336,2.769690838,3.67795116,0.908260322,0
mp-1176519,LiVO2,0.0,0.049930662,0.803277305,2.259213836,1.455936531,0
mp-755625,LiVNiO4,0.4916,0.008291845,2.770014625,3.948117849,1.178103224,0
mp-1222368,LiVMoO6,2.7403,0.025858556,3.580285319,4.129518513,0.549233194,0
mp-763317,LiVGeO5,1.9325,0.080801873,3.298134318,4.129518513,0.831384194,0
mp-1277622,LiVGaO4,1.6521,0.064146837,2.662803386,2.769690838,0.106887453,0
mp-1176543,LiVFeO4,1.6312,0.106112907,2.617556936,2.769690838,0.152133902,0
mp-1176547,LiVFe(P2O7)2,1.6263,0.008261549,3.79179292,4.333404124,0.541611204,0
mp-1103775,LiVCuO4,0.2012,0.245658876,3.253094508,3.873181872,0.620087364,0
